source_id,source_type,module,title,content,tags
DOC-001,canonical_doc,Receiving,Receiving Validation Failures,"Receiving failures often occur due to supplier site mapping issues, invalid item codes, PO status problems, quantity mismatches, or duplicate receipts.",receiving|validation|supplier|mapping|item|receipt
DOC-002,canonical_doc,Shipping,Shipment Confirmation Failures,"Shipment confirmation failures are commonly caused by invalid warehouse codes, ineligible line status, carrier setup issues, or downstream interface timeouts.",shipping|warehouse|carrier|shipment|confirmation
DOC-003,canonical_doc,Inventory,Inventory Allocation Failures,"Inventory allocation may fail because of insufficient stock, reservation conflicts, lot or serial mismatches, or warehouse item setup issues.",inventory|allocation|stock|reservation|lot|serial
DOC-004,canonical_doc,Labeling,Label Printing Issues,"Label generation failures are usually caused by missing printer assignments, missing templates, unavailable print services, or insufficient permissions.",label|printing|printer|template|permission
DOC-005,canonical_doc,Receiving,Supplier Site Mapping Failures,"Receiving failures often occur when supplier site mappings are inactive, misaligned to the business unit, or missing for the expected purchasing relationship.",receiving|supplier|mapping|site|master-data
DOC-006,canonical_doc,Receiving,Closed Purchase Order Receipt Blocks,"Receipt processing is blocked when the purchase order or shipment line is already closed, fully received, or otherwise ineligible for additional receipt activity.",receiving|po|status|closed|receipt
DOC-007,canonical_doc,Receiving,Advance Shipment Notice Dependency Issues,"Receiving may fail when ASN records are missing, late, or not linked correctly to the expected purchase order and shipment line.",receiving|asn|shipment|receipt|integration
DOC-008,canonical_doc,Receiving,Receiving Item Enablement Problems,"Receipt processing can fail when an item is not enabled for the receiving organization, business unit, or warehouse expected by the transaction.",receiving|item|warehouse|organization|setup
DOC-009,canonical_doc,Receiving,Receipt Quantity Mismatch Controls,"Receipt validation often fails when delivered quantity, expected quantity, or tolerances do not align with purchase order controls and supplier shipment details.",receiving|quantity|tolerance|validation|po
DOC-010,canonical_doc,Receiving,Duplicate Receipt Prevention,"Receiving controls prevent duplicate receipts when the same supplier shipment, ASN, or external message is replayed more than once.",receiving|duplicate|asn|idempotency|receipt
DOC-011,canonical_doc,Receiving,Lot Capture Requirements in Receiving,"Receipt processing for lot-controlled items fails when lot information is missing, malformed, or not synchronized with the item control definition.",receiving|lot|controlled|validation|item
DOC-012,canonical_doc,Receiving,Serial Capture Requirements in Receiving,Serial-controlled receiving transactions require serial capture at the right quantity and format before the receipt can be completed.,receiving|serial|controlled|validation|item
DOC-013,canonical_doc,Receiving,Receiving UOM Conversion Issues,Receiving validations fail when the supplier UOM cannot be converted to the purchasing or inventory UOM required by the receiving organization.,receiving|uom|conversion|quantity|setup
DOC-014,canonical_doc,Receiving,Dock Appointment and Door Availability Conflicts,"Receipt processing may pause or fail when dock appointments, door availability, or inbound scheduling controls mark the load as not ready for unload.",receiving|dock|appointment|scheduling|warehouse
DOC-015,canonical_doc,Receiving,Receiving Quality Hold Blocks,Items under receiving inspection or quality hold may not be receipted into available stock until the inspection workflow is completed or overridden by policy.,receiving|quality|inspection|hold|workflow
