shipment_id,order_id,customer_name,origin_city,destination_city,carrier,shipment_status,priority,shipment_mode,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,generated_at,estimated_delivery_time
SHP-1000,ORD-5000,Customer 1,Seattle,Miami,UPS,Dispatched,High,Truck,15.22,7.33,4.37,2.4,0.65,2.4,9.56,9.73,6709.81,6.39,13.13,2202.16,2.27,7.59,0.94,2.65,3.74,2026-04-24T01:34:40,2026-05-07T04:36:47
SHP-1001,ORD-5001,Customer 2,Seattle,San Francisco,J.B. Hunt,In Transit,Normal,Truck,18.35,-0.81,5.72,2.26,4.36,3.63,4.89,6.33,657.67,6.51,7.38,6114.69,1.82,3.62,3.25,1.59,9.54,2026-04-24T01:34:40,2026-05-01T10:49:02
SHP-1002,ORD-5002,Customer 3,Los Angeles,Phoenix,UPS,Dispatched,Normal,Truck,5.58,10.55,9.69,7.16,2.44,4.96,8.28,6.96,2700.18,1.88,7.93,5248.67,16.87,3.74,1.42,2.66,9.73,2026-04-24T01:34:40,2026-05-01T23:57:26
SHP-1003,ORD-5003,Customer 4,New York,Houston,J.B. Hunt,Customs Review,Normal,Truck,10.53,2.22,7.98,9.3,2.54,1.8,9.46,8.46,3047.0,6.38,1.63,2881.25,16.71,9.05,1.97,2.27,8.22,2026-04-24T01:34:40,2026-04-25T16:46:27
SHP-1004,ORD-5004,Customer 5,Los Angeles,Houston,XPO Logistics,At Port,Normal,Rail,18.11,-2.82,1.67,1.05,3.19,8.34,9.88,2.04,6945.9,2.79,11.21,6270.65,8.24,7.95,5.8,1.57,3.8,2026-04-24T01:34:40,2026-05-05T06:31:27
SHP-1005,ORD-5005,Customer 6,Chicago,Phoenix,FedEx,Customs Review,Normal,Air,14.54,8.34,3.93,5.25,4.2,2.08,7.57,5.7,3592.07,8.98,11.65,351.65,-0.68,6.74,5.85,1.28,6.73,2026-04-24T01:34:40,2026-05-05T17:12:06
SHP-1006,ORD-5006,Customer 7,New York,Miami,FedEx,Customs Review,Normal,Rail,9.93,-1.42,3.83,4.69,7.47,7.8,5.58,8.27,5177.21,3.24,2.08,8727.46,27.15,9.17,2.22,2.68,9.03,2026-04-24T01:34:40,2026-04-26T03:26:35
SHP-1007,ORD-5007,Customer 8,Los Angeles,Boston,DHL,Warehouse Processing,Normal,Ocean,19.63,-3.89,5.85,1.99,4.33,3.05,8.27,4.76,2010.23,3.86,12.45,1286.67,8.5,9.06,3.7,9.49,3.91,2026-04-24T01:34:40,2026-05-06T12:25:51
SHP-1008,ORD-5008,Customer 9,New York,Houston,FedEx,In Transit,High,Rail,9.84,-3.41,5.67,9.66,5.07,3.27,7.33,5.52,696.39,9.75,5.21,2858.6,31.33,4.27,4.23,3.16,2.3,2026-04-24T01:34:40,2026-04-29T06:40:23
SHP-1009,ORD-5009,Customer 10,Los Angeles,Houston,FedEx,Customs Review,High,Rail,15.75,6.14,5.41,7.85,4.52,3.14,9.87,1.81,6731.83,7.05,6.15,3275.72,2.46,3.18,5.96,1.37,6.32,2026-04-24T01:34:40,2026-04-30T05:09:11
