source_id,source_type,title,content
POL-001,policy,Approval for High-Risk Actions,"Any corrective action involving transaction reprocessing, hold release, or status change must require human approval when confidence is low or the business impact is medium or high."
POL-002,policy,Retry Policy for Transient Failures,Timeout-related failures may be retried when evidence suggests a transient downstream condition and retry count is within safe threshold.
POL-003,policy,Escalation Policy,Repeated failures after corrective retry or conflicting evidence should trigger escalation instead of repeated automated recommendation.
POL-004,policy,Receiving Approval for High-Impact Reprocessing,"receiving corrective actions that reprocess live transactions, reopen status, or alter operational history require human approval when business impact is medium or higher."
POL-005,policy,Receiving Retry Threshold for Transient Failures,Retry receiving failures only when evidence indicates a transient condition and retry count remains within the approved safe threshold.
POL-006,policy,Receiving Escalation After Repeated Failure,"If the same receiving issue persists after the recommended corrective action or two retries, escalate instead of looping automation."
POL-007,policy,Receiving Duplicate Event Protection,"Do not auto-reprocess duplicate-sensitive receiving events when the evidence indicates replay, duplicate submission, or idempotency conflict."
POL-008,policy,Receiving Audit Trail for Manual Correction,"Any manual data correction applied to a receiving transaction must capture who changed it, what changed, and why the correction was required."
POL-009,policy,Receiving Closed Period and Backdate Restriction,Do not recommend backdated or closed-period receiving posting changes unless a controller or designated approver explicitly authorizes the action.
POL-010,policy,Receiving Tolerance Override Review,"Quantity, tolerance, or policy overrides in receiving require supervisor review before the transaction is reprocessed."
POL-011,policy,Receiving Quality and Compliance Hold Gate,"When receiving evidence points to quality hold, quarantine, export hold, or supplier compliance hold, the system must recommend review before release."
POL-012,policy,Receiving Conflicting Evidence Escalation,"If evidence for a receiving issue conflicts across sources, escalate the recommendation rather than choosing an automated corrective action."
POL-013,policy,Receiving Privileged Access Requirement,"Configuration, role, or master-data changes used to resolve receiving failures must be performed only by users with approved privileged access."
POL-014,policy,Receiving Queue Backlog Backoff,"When queue depth or service backlog affects receiving processing, apply delayed retry and avoid immediate repeated execution."
POL-015,policy,Receiving Credential and Certificate Ownership,"Authentication, token, or certificate failures affecting receiving should route to the integration or platform owner rather than business users."
POL-016,policy,Receiving Reprint and Repeat Action Justification,"Repeated receiving actions such as reprints, reissues, or repeated submissions require a reason code before execution."
POL-017,policy,Receiving Financial Impact Review,"If the recommended receiving fix can change inventory valuation, financial recognition, freight billing, or credit outcome, require human review."
POL-018,policy,Receiving Safe Recommendation Boundary,Recommendations for receiving should prefer safe diagnosis and next-step guidance over direct automation when confidence is low or irreversible impact is possible.
