timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation
2026-03-26 16:38:00,29.709343,-95.018581,6.923,3.852,5.989,35.872,3.329,6.13,Exception,3.71,4.347,1393.53,5.523,10.139,799.71,66.909,Good,6.602,1.029,6.968,7.614,0.687,0.7307,Moderate Risk,7.27
2026-04-12 23:47:00,33.380058,-96.484745,8.991,4.014,6.979,43.41,3.538,2.499,Delayed,6.634,5.012,1710.48,2.541,9.951,642.95,115.0,Damaged,7.113,7.0,5.447,8.13,0.815,0.9112,High Risk,6.05
2026-04-02 14:52:00,34.322623,-85.279713,6.925,1.763,6.982,54.178,2.817,5.751,Delayed,5.588,3.227,1151.92,7.248,8.436,762.29,88.865,Good,3.456,3.461,7.961,4.443,0.548,0.6138,Moderate Risk,5.56
2026-03-14 00:14:00,33.094858,-98.938275,7.342,2.143,6.246,42.469,3.845,7.192,Fulfilled,6.988,6.075,1513.94,6.086,9.559,393.94,110.198,Damaged,4.937,2.746,3.833,5.667,0.744,0.8435,High Risk,6.36
2026-03-25 05:59:00,41.364613,-73.150717,6.612,1.025,3.595,85.645,2.988,7.428,Fulfilled,6.465,7.806,1166.64,6.616,6.253,581.5,115.0,Good,4.296,1.157,6.437,4.207,0.513,0.5136,Moderate Risk,2.96
2026-03-18 13:48:00,32.648691,-95.769413,7.696,2.487,6.869,52.305,2.947,9.573,Fulfilled,6.378,7.454,1792.2,4.435,9.062,883.81,97.158,Damaged,7.702,3.894,4.898,5.329,0.823,0.9218,High Risk,6.82
2026-02-08 02:46:00,32.781127,-95.884435,8.512,3.79,7.725,27.615,3.354,1.852,Delayed,5.851,7.714,1662.73,1.396,10.263,603.65,108.191,Good,8.509,3.929,5.015,6.371,0.814,0.9443,High Risk,7.19
2026-04-06 08:57:00,33.883392,-84.467192,5.527,-0.213,1.704,71.763,1.713,9.282,Pending,1.144,1.124,762.32,9.484,4.808,171.74,60.181,Good,0.598,0.963,10.0,3.104,0.065,0.0507,Low Risk,-0.42
2026-04-27 20:26:00,41.40811,-74.663616,7.119,3.659,6.714,69.296,2.515,5.087,Pending,4.41,6.873,1546.91,6.615,10.082,735.29,84.305,Good,5.145,4.048,3.289,4.528,0.611,0.7337,Moderate Risk,5.29
2026-03-02 18:18:00,40.487978,-73.510864,7.278,1.128,3.733,61.08,2.584,4.351,Fulfilled,4.074,0.0,1016.19,5.456,6.555,728.66,89.796,At Risk,2.281,3.501,6.273,7.326,0.347,0.3564,Low Risk,2.02
2026-03-20 06:47:00,33.438977,-96.704091,5.598,1.698,2.969,50.194,2.726,4.466,Delayed,3.493,3.33,1244.71,7.373,8.225,546.2,100.734,Good,4.502,1.763,4.502,2.065,0.34,0.3609,Low Risk,1.24
2026-03-29 17:24:00,41.578406,-73.657733,6.912,0.826,2.541,71.515,0.993,8.93,Fulfilled,1.426,0.0,1027.08,9.206,5.828,603.2,46.715,Good,2.456,0.636,6.792,1.127,0.092,0.0966,Low Risk,-0.75
2026-01-12 03:03:00,33.922458,-84.330044,8.776,2.288,7.092,52.774,3.04,6.031,Exception,6.209,5.26,1744.05,5.026,12.632,512.79,102.642,Good,5.9,4.055,3.388,5.939,0.708,0.8644,High Risk,7.76
2026-01-29 12:50:00,30.205556,-95.924778,4.417,0.124,2.377,90.735,1.47,8.577,Fulfilled,1.147,0.0,728.69,8.899,2.483,726.7,54.207,Good,0.0,1.524,6.57,3.111,0.042,0.0937,Low Risk,1.21
2026-02-16 16:21:00,29.111057,-95.060359,5.322,0.03,2.015,75.589,2.246,7.779,Pending,0.0,0.013,971.27,7.314,5.48,636.02,47.983,Good,1.6,2.35,5.873,0.707,0.074,0.1121,Low Risk,1.44
2026-02-15 00:20:00,42.193465,-87.577571,7.105,3.491,7.649,33.456,2.163,3.503,Delayed,6.686,2.689,1694.87,6.198,12.838,249.74,115.0,Good,6.906,3.453,3.735,4.348,0.776,0.8017,High Risk,5.32
2026-01-01 12:49:00,41.02142,-74.471535,8.439,3.342,3.929,40.022,2.965,2.473,Fulfilled,4.427,7.654,1565.6,5.373,9.718,468.29,82.962,Good,7.285,1.776,5.78,5.074,0.681,0.8397,High Risk,8.36
2026-02-11 11:35:00,42.021933,-87.729688,5.33,1.1,1.339,67.109,1.612,6.388,Fulfilled,0.561,5.351,831.03,7.413,4.517,260.93,52.064,Good,2.607,2.187,9.57,3.781,0.172,0.1843,Low Risk,0.71
2026-02-15 02:05:00,34.229899,-84.14513,5.919,-0.061,2.415,84.167,0.256,5.285,Pending,1.364,0.0,800.73,7.382,4.386,434.71,53.723,At Risk,0.0,1.409,7.228,2.74,0.095,0.0917,Low Risk,-0.46
2026-01-04 16:31:00,34.140825,-118.590052,6.161,1.29,3.969,71.415,2.399,7.571,Pending,2.455,4.426,1402.33,6.5,8.682,284.47,77.429,At Risk,3.735,2.355,10.0,2.866,0.368,0.3869,Low Risk,4.01
2026-03-13 18:35:00,33.867232,-117.23337,8.316,2.089,3.464,69.442,2.845,6.504,Fulfilled,3.574,5.425,907.86,7.4,4.481,510.48,62.024,Damaged,5.128,3.595,7.557,5.17,0.429,0.4954,Moderate Risk,3.91
2026-03-01 05:45:00,33.985898,-119.072237,8.075,1.138,8.409,59.042,3.213,4.038,Pending,6.897,2.784,1533.55,3.683,7.89,726.39,115.0,At Risk,8.649,3.59,3.969,8.435,0.885,0.8716,High Risk,5.9
2026-04-21 22:45:00,29.712793,-96.696242,9.08,4.473,8.093,20.312,3.26,2.627,Pending,8.668,3.664,2073.12,4.174,14.499,695.99,115.0,Good,7.043,5.091,0.81,7.17,0.869,0.9216,High Risk,8.3
2026-04-01 16:48:00,34.044778,-117.978743,6.764,2.499,6.016,56.668,2.403,3.248,Fulfilled,6.619,2.453,1789.32,6.493,11.988,703.49,106.623,Damaged,5.374,4.228,8.203,4.822,0.677,0.7692,High Risk,5.89
2026-04-19 20:10:00,33.848018,-118.976056,6.317,1.98,3.386,54.575,1.824,1.96,Fulfilled,0.11,2.826,1547.34,6.41,9.352,468.16,68.464,Good,4.425,3.488,7.89,4.752,0.302,0.3421,Low Risk,2.7
2026-02-28 15:58:00,32.554664,-96.497512,7.731,1.046,2.79,93.757,2.688,4.777,Fulfilled,0.0,2.224,661.77,7.669,1.87,705.24,40.755,Good,3.409,1.844,7.469,1.804,0.187,0.1053,Low Risk,-1.29
2026-03-27 02:17:00,34.101518,-83.8339,10.23,3.333,8.649,12.362,3.963,3.62,Pending,4.996,5.044,1816.79,4.698,12.274,673.67,76.666,At Risk,8.973,5.417,5.484,6.606,0.809,0.918,High Risk,7.09
2026-04-14 19:43:00,29.786435,-95.741814,8.415,3.113,5.677,56.004,1.757,6.731,Fulfilled,5.912,10.0,1309.62,5.498,9.475,836.78,113.251,At Risk,6.706,4.116,6.222,8.369,0.684,0.7933,High Risk,6.28
2026-04-01 15:23:00,33.112086,-83.657443,7.74,1.837,5.875,70.864,3.22,6.613,Fulfilled,3.17,5.954,1143.01,3.564,6.833,391.28,100.25,Damaged,3.913,3.832,9.059,4.054,0.562,0.5375,Moderate Risk,3.35
2026-01-02 21:47:00,33.089644,-97.555242,8.624,4.096,7.157,35.576,2.994,8.326,Fulfilled,7.819,8.369,1929.49,4.044,13.946,765.82,115.0,Good,6.524,2.718,4.119,7.139,0.871,0.9165,High Risk,7.54
2026-03-28 00:15:00,29.262355,-94.994624,8.578,2.048,7.827,46.625,3.245,5.228,Fulfilled,3.974,8.636,946.37,5.033,5.783,506.69,87.143,Good,5.429,2.35,4.77,5.657,0.705,0.8142,High Risk,4.85
2026-02-15 15:25:00,35.087088,-119.906282,8.613,4.27,8.275,28.543,4.148,5.128,Pending,6.4,8.123,2320.03,3.012,15.0,755.9,114.701,Good,10.0,5.829,6.216,7.23,0.851,0.9632,High Risk,8.5
2026-04-01 06:21:00,29.204413,-95.482396,7.453,2.371,8.145,35.813,2.842,1.294,Fulfilled,4.777,5.578,1748.29,4.526,10.876,962.0,106.029,Damaged,6.992,4.099,5.939,6.873,0.794,0.897,High Risk,6.35
2026-02-28 18:54:00,35.109562,-118.304289,9.415,4.006,10.0,35.459,4.312,4.686,Pending,7.077,7.901,1862.72,2.486,12.082,138.04,103.46,At Risk,8.965,4.911,4.3,7.258,0.873,0.9753,High Risk,7.32
2026-04-26 20:45:00,40.961015,-73.833638,9.028,3.021,9.38,39.596,1.916,1.965,Fulfilled,7.039,8.307,1856.76,4.977,11.068,649.66,92.372,Good,8.197,3.809,4.257,8.436,0.869,0.9501,High Risk,6.41
