source_id,source_type,module,title,content,resolution_type
INC-001,incident_memory,Receiving,Resolved Supplier Site Mapping Failure,A receiving transaction failed because the supplier site mapping was inactive for the business unit. The issue was resolved by activating the correct supplier site mapping and reprocessing the receipt.,master_data_fix
INC-002,incident_memory,Shipping,Resolved Invalid Warehouse Code Issue,Shipment confirmation failed because the warehouse code in the transaction payload did not match an active warehouse. The fix was to correct the warehouse code and retry shipment confirmation.,configuration_fix
INC-003,incident_memory,Integration,Resolved Timeout During Downstream Posting,A transient downstream timeout caused a transaction failure. The issue was resolved with delayed retry after downstream recovery.,retry_after_backoff
INC-004,incident_memory,Receiving,Resolved Supplier Site Mapping,The transaction failed because supplier site mapping SUP-NJ was inactive for business unit BU-MW. The issue was resolved by reactivating the supplier site mapping and reprocessing the receipt.,master_data_fix
INC-005,incident_memory,Receiving,Resolved Closed Purchase Order Receipt Block,"The receipt could not be processed because purchase order PO-7811 had already moved to a closed status. The team reopened the eligible line, validated remaining quantity, and reprocessed the receipt.",status_correction
INC-006,incident_memory,Receiving,Resolved Advance Shipment Notice Dependency Issue,"The receipt failed because ASN ASN-663 had not been created for purchase order PO-8450. The source message was corrected, the ASN was loaded, and receipt processing succeeded on retry.",data_correction
INC-007,incident_memory,Receiving,Resolved Receiving Item Enablement Problem,"The receiving transaction referenced item ITEM-4401, which was not enabled for organization ORG-NA. The item organization assignment was corrected and the receipt was reprocessed.",configuration_fix
INC-008,incident_memory,Receiving,Resolved Receipt Quantity Mismatch Controls,"The transaction exceeded the configured tolerance for purchase order SUP-HOU. The supplier quantity was reviewed, the receipt quantity was corrected, and the transaction posted successfully.",data_correction
INC-009,incident_memory,Receiving,Resolved Duplicate Receipt Prevention,"A duplicate supplier message replayed ASN WH-R01, causing duplicate receipt protection to block the transaction. The duplicate event was cleared and only the valid receipt was retained.",manual_reprocess
INC-010,incident_memory,Receiving,Resolved Lot Capture Requirements in Receiving,"The item on the receipt required lot capture, but the incoming payload for LOT-C330 did not include a lot number. The supplier data was corrected and the receipt was resubmitted.",data_correction
INC-011,incident_memory,Receiving,Resolved Serial Capture Requirements in Receiving,The receipt failed because serial-controlled item SER-1003 did not include the full set of required serial numbers. The serial list was corrected and the receipt was processed.,data_correction
INC-012,incident_memory,Receiving,Resolved Receiving UOM Conversion Issue,The transaction used a supplier UOM that had no valid conversion for item ITEM-7742. The item conversion setup was added and the receipt was retried successfully.,master_data_fix
INC-013,incident_memory,Receiving,Resolved Dock Appointment and Door Availability Conflict,"The inbound load referenced appointment LOAD-611, which had already been closed in the dock schedule. Warehouse operations reopened the appointment window and completed the receipt.",workflow_correction
INC-014,incident_memory,Receiving,Resolved Receiving Quality Hold Block,"The item was placed on receiving inspection hold, so the receipt could not complete. After quality review, the hold was released and the receipt posted.",workflow_correction
INC-015,incident_memory,Receiving,Resolved Cross-Organization Receipt Mapping Gap,"The receiving transaction required a destination organization mapping for WH-R02, but the cross-org setup was incomplete. The mapping was added and the receipt was reprocessed.",configuration_fix
INC-016,incident_memory,Receiving,Resolved Supplier Compliance Holds on Receiving,The supplier tied to SUP-CHI was on an active compliance hold. The compliance team cleared the exception and the receipt was processed afterward.,workflow_correction
INC-017,incident_memory,Receiving,Resolved Over-Receipt Control,"The receipt attempted to post beyond the allowed quantity for purchase order PO-7934. The remaining quantity was reviewed, a controlled adjustment was approved, and the valid portion was posted.",status_correction
INC-018,incident_memory,Receiving,Resolved Receiving Calendar and Cutoff Issue,The transaction date fell into closed period 2026-01. Operations moved the receipt to the next open date and reprocessed it.,status_correction
INC-019,incident_memory,Receiving,Resolved Receiving Interface Staging Validation Error,The receipt message loaded into staging record MSG-993 without all mandatory supplier attributes. The staging data was corrected and manually reprocessed.,manual_reprocess
INC-020,incident_memory,Receiving,Resolved Blind Receipt Restriction Violations,"The receipt used a blind receiving flow for purchase order PO-8450, but that PO was not eligible for it. The team switched to standard receipt validation and completed the transaction.",workflow_correction
INC-021,incident_memory,Receiving,Resolved Cancelled Receipt Line Validation,The inbound receipt referenced a cancelled PO line on PO-9102. The source document was corrected to the active schedule and the receipt was reprocessed.,data_correction
INC-022,incident_memory,Shipping,Resolved Invalid Warehouse Code,Shipment confirmation failed because warehouse code WH-RET-1 did not map to an active shipping warehouse. The code was corrected and shipment confirmation succeeded.,configuration_fix
INC-023,incident_memory,Shipping,Resolved Carrier Service Setup Problem,The shipment record for SHPDOC-202 had no valid carrier service assignment. Transportation setup was corrected and the shipment was reconfirmed.,configuration_fix
INC-024,incident_memory,Shipping,Resolved Shipment Line Status Eligibility Error,The shipment failed because an order line on ORD-8101 had not reached the required shippable status. The warehouse completed the missing step and then reconfirmed shipment.,status_correction
INC-025,incident_memory,Shipping,Resolved Downstream Shipping Posting Timeouts,A transient timeout occurred while posting shipment API-LBL to a downstream system. The transaction was retried after recovery and completed successfully.,retry_after_backoff
INC-026,incident_memory,Shipping,Resolved Tracking Number Validation Issue,The carrier tracking value on shipment SHPDOC-202 did not match the expected format. The tracking number was corrected and the confirmation was retried.,data_correction
INC-027,incident_memory,Shipping,Resolved Wave Release Dependency,"The shipment tried to confirm before wave WAVE-552 was released. After warehouse release completed, the shipment confirmation processed correctly.",workflow_correction
INC-028,incident_memory,Shipping,Resolved Packing Completion Dependency,Shipment processing failed because packing details for load LOAD-855 were incomplete. Carton data was finished and the shipment was reconfirmed.,workflow_correction
INC-029,incident_memory,Shipping,Resolved Ship-To Address Validation,The order behind shipment ORD-8404 had an invalid ship-to address. Customer data was corrected and shipping confirmation succeeded afterward.,data_correction
INC-030,incident_memory,Shipping,Resolved Hazmat Shipping Documentation Block,The hazmat shipment WAVE-310 could not be confirmed because required documentation was missing. Compliance documents were attached and the shipment was processed.,workflow_correction
INC-031,incident_memory,Shipping,Resolved Export Compliance Hold on Shipment,"An export screening hold blocked shipment PO-7934. After the trade compliance review cleared the order, the shipment was reconfirmed.",workflow_correction
INC-032,incident_memory,Shipping,Resolved Closed Load Shipment Block,"The shipment referenced load LOAD-855, which had already been closed. Operations moved the shipment to an active load and completed confirmation.",status_correction
INC-033,incident_memory,Shipping,Resolved Route Sequence Validation Problem,The transportation route on load LOAD-855 did not match the configured stop sequence. The route data was corrected and the shipment was processed.,configuration_fix
INC-034,incident_memory,Shipping,Resolved Inactive Carrier Account Issue,The outbound shipment SHPDOC-303 referenced an inactive carrier account. The account was reactivated and the transaction was retried successfully.,master_data_fix
INC-035,incident_memory,Shipping,Resolved Freight Terms Validation Error,Shipment LOAD-611 carried freight terms that conflicted with the carrier contract. The order terms were corrected and confirmation succeeded.,data_correction
INC-036,incident_memory,Shipping,Resolved Container Assignment Gap,The outbound shipment SHPDOC-303 required a handling unit assignment that was missing. The load team assigned the container and reconfirmed the shipment.,workflow_correction
INC-037,incident_memory,Shipping,Resolved Short Shipment Control,The shipment could not confirm because a short-ship approval was missing for order ORD-8101. The shortage reason was approved and the shipment processed.,workflow_correction
INC-038,incident_memory,Shipping,Resolved Missed Delivery Appointment Exceptions,The load associated with PO-9102 missed its delivery appointment window. A new appointment was scheduled and the shipment was reprocessed.,status_correction
INC-039,incident_memory,Shipping,Resolved Manifest Generation Dependency,Shipment SHPDOC-303 could not complete because manifest generation failed in a dependent process. The manifest job was rerun and the shipment confirmed afterward.,manual_reprocess
INC-040,incident_memory,Inventory,Resolved Insufficient Stock Allocation,An allocation attempt failed because item ITEM-7742 did not have enough available stock. Replenishment completed and the allocation was retried successfully.,status_correction
INC-041,incident_memory,Inventory,Resolved Reservation Conflict Issue,The transaction could not proceed because item ITEM-7742 was already reserved by another demand line. The stale reservation was released and allocation succeeded.,status_correction
INC-042,incident_memory,Inventory,Resolved Lot Mismatch Validation Error,"The requested inventory transaction referenced lot LOT-A110, which did not meet the allocation criteria. The correct eligible lot was selected and the transaction posted.",data_correction
INC-043,incident_memory,Inventory,Resolved Serial Validation Error,"The inventory move used serial SER-1002, but that serial was not in an eligible status. The correct serial was selected and the transaction was reprocessed.",data_correction
INC-044,incident_memory,Inventory,Resolved Warehouse Item Assignment Gap,"The transaction referenced item ITEM-5520 in location WH-S01, but that item-location assignment did not exist. Setup was corrected and the transaction was retried.",configuration_fix
INC-045,incident_memory,Inventory,Resolved Expired Lot Movement Block,The inventory transaction attempted to use expired lot LOT-C330. The team moved to a valid lot and completed the transaction without override.,workflow_correction
INC-046,incident_memory,Inventory,Resolved Cycle Count Lock Conflict,"The requested movement hit a cycle count lock on location CNT-903. After counting completed, the transaction was retried and posted.",status_correction
INC-047,incident_memory,Inventory,Resolved Negative Inventory Prevention,"The requested issue would have driven item ITEM-7742 below zero. Inventory was reconciled first, and then the valid movement was processed.",status_correction
INC-048,incident_memory,Inventory,Resolved Cost Group Assignment Problem,The inventory transaction for item ITEM-6631 had no valid cost group assignment. Finance setup was corrected and the transaction was reprocessed.,configuration_fix
INC-049,incident_memory,Inventory,Resolved Inactive Locator Validation,The move used inactive locator LOC-C-07. Warehouse master data was updated and the transaction succeeded after retry.,master_data_fix
INC-050,incident_memory,Inventory,Resolved Inventory Ownership Mismatch,The transaction used stock from lot ITEM-6631 with the wrong ownership context. The correct ownership bucket was selected and the transaction was processed.,data_correction
INC-051,incident_memory,Inventory,Resolved Quarantine Hold Movement Block,"The inventory was still in quarantine for item ITEM-4401. After quality released the stock, the transaction was rerun successfully.",workflow_correction
INC-052,incident_memory,Inventory,Resolved Inventory UOM Conversion,The inventory transfer used a UOM without a conversion for item ITEM-6631. The conversion was added and the transaction posted.,master_data_fix
INC-053,incident_memory,Inventory,Resolved Replenishment Timing Conflict,"The allocation attempt started before replenishment completed for item ITEM-5520. After replenishment finished, the allocation succeeded on retry.",retry_after_backoff
INC-054,incident_memory,Inventory,Resolved Transfer Order Dependency Issue,"The inventory move depended on transfer order TO-1101, which was missing from the workflow. The order reference was corrected and the move was reprocessed.",data_correction
INC-055,incident_memory,Inventory,Resolved Count Variance Approval Dependency,A large count variance tied to PO-9101 required supervisor approval before posting. The approval was completed and the adjustment posted.,workflow_correction
INC-056,incident_memory,Inventory,Resolved Disabled Subinventory Validation,The movement referenced disabled subinventory SUB-C. Warehouse setup was corrected and the inventory transaction succeeded.,configuration_fix
