transaction_id,module,status,severity,retry_count,error_message
RCV-1002,Receiving,Failed,Medium,1,Receiving transaction failed due to supplier site mapping missing.
SHP-1006,Shipping,Failed,High,0,Shipment confirmation failed because warehouse code WHX99 is invalid.
INT-1016,Integration,Failed,Medium,2,Downstream service timeout while posting receipt data.
RCV-1017,Receiving,Failed,High,1,Receiving transaction failed because supplier site mapping SUP-HOU is inactive for business unit BU-NE.
RCV-1018,Receiving,Blocked,Medium,0,Receiving transaction failed because purchase order PO-9102 is already closed for receiving.
RCV-1019,Receiving,Failed,High,1,Receiving transaction failed because ASN ASN-441 is missing for purchase order PO-7811.
RCV-1020,Receiving,Failed,Medium,0,Receiving transaction failed because item ITEM-6631 is not enabled for organization ORG-NA.
RCV-1021,Receiving,Failed,Medium,1,Receiving transaction failed because received quantity exceeds tolerance for purchase order ASN-441.
RCV-1022,Receiving,Failed,Critical,1,Receiving transaction blocked because duplicate receipt was detected for ASN BU-SW.
RCV-1023,Receiving,Failed,High,1,Receiving transaction failed because lot-controlled item LOT-A110 was received without a lot number.
RCV-1024,Receiving,Failed,High,1,Receiving transaction failed because serial numbers are missing for item SER-1003.
RCV-1025,Receiving,Failed,Medium,0,Receiving transaction failed because UOM conversion from case to each is missing for item ITEM-6631.
RCV-1026,Receiving,Failed,High,0,Receiving transaction failed because dock appointment for load LOAD-966 is closed.
RCV-1027,Receiving,Failed,High,0,Receiving transaction failed because item RMA-333 is under receiving inspection hold.
RCV-1028,Receiving,Failed,High,0,Receiving transaction failed because destination organization mapping is missing for WH-R01.
RCV-1029,Receiving,Failed,High,0,Receiving transaction failed because supplier compliance hold is active for supplier SUP-ATL.
RCV-1030,Receiving,Failed,High,1,Receiving transaction blocked because over-receipt would exceed allowed quantity on purchase order PO-9102.
RCV-1031,Receiving,Failed,High,0,Receiving transaction failed because receiving date falls in closed calendar period 2026-02.
RCV-1032,Receiving,Failed,Critical,0,Receiving transaction failed because staging record MSG-771 is missing mandatory supplier fields.
RCV-1033,Receiving,Failed,Medium,1,Receiving transaction failed because blind receipt is not allowed for purchase order PO-7934.
RCV-1034,Receiving,Failed,Medium,1,Receiving transaction failed because purchase order line on PO-7811 is cancelled.
SHP-1035,Shipping,Failed,Medium,1,Shipment confirmation failed because warehouse code WH-R01 is invalid.
SHP-1036,Shipping,Failed,High,1,Shipment confirmation failed because carrier service is missing for shipment SHPDOC-303.
SHP-1037,Shipping,Blocked,High,1,Shipment confirmation failed because order line on ORD-8404 is not in shippable status.
SHP-1038,Shipping,Failed,Medium,2,Shipment confirmation failed due to downstream timeout while posting shipment API-TMS.
SHP-1039,Shipping,Failed,Medium,1,Shipment confirmation failed because tracking number for shipment SHPDOC-202 is invalid.
SHP-1040,Shipping,Failed,High,0,Shipment confirmation failed because wave WAVE-441 has not been released.
SHP-1041,Shipping,Failed,High,0,Shipment confirmation failed because packing is incomplete for load LOAD-966.
SHP-1042,Shipping,Failed,High,1,Shipment confirmation failed because ship-to address validation failed for order ORD-8303.
SHP-1043,Shipping,Failed,High,0,Shipment confirmation failed because hazmat document is missing for shipment CARR-FDX.
SHP-1044,Shipping,Failed,Medium,1,Shipment confirmation failed because export compliance hold is active for order PO-9102.
SHP-1045,Shipping,Blocked,Medium,1,Shipment confirmation failed because load LOAD-966 is already closed.
SHP-1046,Shipping,Failed,High,1,Shipment confirmation failed because route sequence is invalid for load LOAD-744.
